City;Area;Region;Branch;Branch Mapping;Validation
ACEH BARAT;AREA 1;01.SUMBAGUT;BANDA ACEH;BANDA ACEH;TRUE
ACEH BARAT DAYA;AREA 1;01.SUMBAGUT;BANDA ACEH;BANDA ACEH;TRUE
ACEH BESAR;AREA 1;01.SUMBAGUT;BANDA ACEH;BANDA ACEH;TRUE
ACEH JAYA;AREA 1;01.SUMBAGUT;BANDA ACEH;BANDA ACEH;TRUE
ACEH SELATAN;AREA 1;01.SUMBAGUT;BANDA ACEH;BANDA ACEH;TRUE
ACEH SINGKIL;AREA 1;01.SUMBAGUT;BANDA ACEH;BANDA ACEH;TRUE
ACEH TAMIANG;AREA 1;01.SUMBAGUT;WESTERN MEDAN;WESTERN MEDAN;TRUE
ACEH TENGAH;AREA 1;01.SUMBAGUT;BANDA ACEH;BANDA ACEH;TRUE
ACEH TENGGARA;AREA 1;01.SUMBAGUT;PEMATANG SIANTAR;PEMATANG SIANTAR;TRUE
ACEH TIMUR;AREA 1;01.SUMBAGUT;WESTERN MEDAN;WESTERN MEDAN;TRUE
ACEH UTARA;AREA 1;01.SUMBAGUT;BANDA ACEH;BANDA ACEH;TRUE
ACEH UTARA;AREA 1;01.SUMBAGUT;WESTERN MEDAN;BANDA ACEH;FALSE
AGAM;AREA 1;02.SUMBAGTENG;PADANG;PADANG;TRUE
ALOR;AREA 3;10.BALI NUSRA;KUPANG;KUPANG;TRUE
ASAHAN;AREA 1;01.SUMBAGUT;PEMATANG SIANTAR;PEMATANG SIANTAR;TRUE
ASMAT;AREA 4;13.MALUKU DAN PAPUA;TIMIKA;TIMIKA;TRUE
BABADAN;AREA 3;09.JATIM;MANDIRI;#N/A;#N/A
BADUNG;AREA 3;10.BALI NUSRA;DENPASAR;DENPASAR;TRUE
BALANGAN;AREA 4;11.KALIMANTAN;BANJARMASIN;BANJARMASIN;TRUE
BANDUNG;AREA 2;07.JABAR;SOREANG;SOREANG;TRUE
BANDUNG;AREA 3;08.JATENG-DIY;PANTURA;SOREANG;FALSE
BANDUNG BARAT;AREA 2;07.JABAR;BANDUNG;BANDUNG;TRUE
BANDUNG BARAT;AREA 2;07.JABAR;SOREANG;BANDUNG;FALSE
BANDUNG BARAT;AREA 3;09.JATIM;MADURA;BANDUNG;FALSE
BANGGAI;AREA 4;12.SULAWESI;PALU;PALU;TRUE
BANGGAI KEPULAUAN;AREA 4;12.SULAWESI;PALU;PALU;TRUE
BANGGAI LAUT;AREA 4;12.SULAWESI;PALU;PALU;TRUE
BANGKA;AREA 1;03.SUMBAGSEL;PANGKAL PINANG;PANGKAL PINANG;TRUE
BANGKA BARAT;AREA 1;03.SUMBAGSEL;PANGKAL PINANG;PANGKAL PINANG;TRUE
BANGKA SELATAN;AREA 1;03.SUMBAGSEL;PANGKAL PINANG;PANGKAL PINANG;TRUE
BANGKA TENGAH;AREA 1;03.SUMBAGSEL;PANGKAL PINANG;PANGKAL PINANG;TRUE
BANGKALAN;AREA 3;09.JATIM;SURABAYA;SURABAYA;TRUE
BANGLI;AREA 3;10.BALI NUSRA;DENPASAR;DENPASAR;TRUE
BANGUNASRI;AREA 3;09.JATIM;PONOROGO;#N/A;#N/A
BANJAR;AREA 4;11.KALIMANTAN;BANJARMASIN;BANJARMASIN;TRUE
BANJARNEGARA;AREA 3;08.JATENG-DIY;PURWOKERTO;PURWOKERTO;TRUE
BANTAENG;AREA 4;12.SULAWESI;MAKASSAR;MAKASSAR;TRUE
BANTUL;AREA 3;08.JATENG-DIY;YOGYAKARTA;YOGYAKARTA;TRUE
BANYU ASIN;AREA 1;03.SUMBAGSEL;PALEMBANG;PALEMBANG;TRUE
BANYUMAS;AREA 3;08.JATENG-DIY;PURWOKERTO;PURWOKERTO;TRUE
BANYUWANGI;AREA 3;09.JATIM;JEMBER;JEMBER;TRUE
BARITO KUALA;AREA 4;11.KALIMANTAN;BANJARMASIN;BANJARMASIN;TRUE
BARITO SELATAN;AREA 4;11.KALIMANTAN;PALANGKARAYA;PALANGKARAYA;TRUE
BARITO TIMUR;AREA 4;11.KALIMANTAN;PALANGKARAYA;PALANGKARAYA;TRUE
BARITO UTARA;AREA 4;11.KALIMANTAN;PALANGKARAYA;PALANGKARAYA;TRUE
BARRU;AREA 4;12.SULAWESI;MAKASSAR;MAKASSAR;TRUE
BATANG;AREA 3;08.JATENG-DIY;PEKALONGAN;PEKALONGAN;TRUE
BATANG HARI;AREA 1;03.SUMBAGSEL;JAMBI;JAMBI;TRUE
BATU BARA;AREA 1;01.SUMBAGUT;PEMATANG SIANTAR;PEMATANG SIANTAR;TRUE
BEKASI;AREA 2;06.EASTERN JABOTABEK;BEKASI;BEKASI;TRUE
BEKASI;AREA 2;06.EASTERN JABOTABEK;KARAWANG;BEKASI;FALSE
BELITUNG;AREA 1;03.SUMBAGSEL;PANGKAL PINANG;PANGKAL PINANG;TRUE
BELITUNG TIMUR;AREA 1;03.SUMBAGSEL;PANGKAL PINANG;PANGKAL PINANG;TRUE
BELU;AREA 3;10.BALI NUSRA;KUPANG;KUPANG;TRUE
BENER MERIAH;AREA 1;01.SUMBAGUT;BANDA ACEH;BANDA ACEH;TRUE
BENGKALIS;AREA 1;02.SUMBAGTENG;DUMAI;DUMAI;TRUE
BENGKAYANG;AREA 4;11.KALIMANTAN;PONTIANAK;PONTIANAK;TRUE
BENGKULU SELATAN;AREA 1;03.SUMBAGSEL;BENGKULU;BENGKULU;TRUE
BENGKULU TENGAH;AREA 1;03.SUMBAGSEL;BENGKULU;BENGKULU;TRUE
BENGKULU UTARA;AREA 1;03.SUMBAGSEL;BENGKULU;BENGKULU;TRUE
BERAU;AREA 4;11.KALIMANTAN;SAMARINDA;SAMARINDA;TRUE
BERO;AREA 3;08.JATENG-DIY;MAGELANG;#N/A;#N/A
BERU;AREA 3;09.JATIM;TULUNGAGUNG;#N/A;#N/A
BIAK NUMFOR;AREA 4;13.MALUKU DAN PAPUA;JAYAPURA;JAYAPURA;TRUE
BIMA;AREA 3;10.BALI NUSRA;MATARAM;MATARAM;TRUE
BINTAN;AREA 1;02.SUMBAGTENG;BATAM;BATAM;TRUE
BIREUEN;AREA 1;01.SUMBAGUT;BANDA ACEH;BANDA ACEH;TRUE
BLITAR;AREA 3;09.JATIM;MALANG;MALANG;TRUE
BLITAR;AREA 3;09.JATIM;TULUNGAGUNG;MALANG;FALSE
BLORA;AREA 3;08.JATENG-DIY;SURAKARTA;SURAKARTA;TRUE
BOALEMO;AREA 4;12.SULAWESI;GORONTALO;GORONTALO;TRUE
BOGOR;AREA 2;06.EASTERN JABOTABEK;BEKASI;BEKASI;TRUE
BOGOR;AREA 2;06.EASTERN JABOTABEK;BOGOR;BEKASI;FALSE
BOJONEGORO;AREA 3;09.JATIM;LAMONGAN;LAMONGAN;TRUE
BOLAANG MONGONDOW;AREA 4;12.SULAWESI;GORONTALO;GORONTALO;TRUE
BOLAANG MONGONDOW SELATAN;AREA 4;12.SULAWESI;GORONTALO;GORONTALO;TRUE
BOLAANG MONGONDOW TIMUR;AREA 4;12.SULAWESI;GORONTALO;GORONTALO;TRUE
BOLAANG MONGONDOW UTARA;AREA 4;12.SULAWESI;GORONTALO;GORONTALO;TRUE
BOMBANA;AREA 4;12.SULAWESI;KENDARI;KENDARI;TRUE
BONDOWOSO;AREA 3;09.JATIM;JEMBER;JEMBER;TRUE
BONE;AREA 4;12.SULAWESI;MAKASSAR;MAKASSAR;TRUE
BONE BOLANGO;AREA 4;12.SULAWESI;GORONTALO;GORONTALO;TRUE
BOYOLALI;AREA 3;08.JATENG-DIY;SURAKARTA;SURAKARTA;TRUE
BREBES;AREA 3;08.JATENG-DIY;PEKALONGAN;PEKALONGAN;TRUE
BUKITTINGGI;AREA 1;02.SUMBAGTENG;BUKIT TINGGI;#N/A;#N/A
BULELENG;AREA 3;10.BALI NUSRA;DENPASAR;DENPASAR;TRUE
BULUKUMBA;AREA 4;12.SULAWESI;MAKASSAR;MAKASSAR;TRUE
BULUNGAN;AREA 4;11.KALIMANTAN;TARAKAN;TARAKAN;TRUE
BULUSIDOKARE;AREA 3;09.JATIM;NEW SIDOARJO;#N/A;#N/A
BUNGO;AREA 1;03.SUMBAGSEL;JAMBI;JAMBI;TRUE
BUOL;AREA 4;12.SULAWESI;GORONTALO;GORONTALO;TRUE
BURU;AREA 4;13.MALUKU DAN PAPUA;AMBON;AMBON;TRUE
BURU SELATAN;AREA 4;13.MALUKU DAN PAPUA;AMBON;AMBON;TRUE
BUTON;AREA 4;12.SULAWESI;KENDARI;KENDARI;TRUE
BUTON TENGAH;AREA 4;12.SULAWESI;KENDARI;KENDARI;TRUE
BUTON UTARA;AREA 4;12.SULAWESI;KENDARI;KENDARI;TRUE
CANDI;AREA 3;08.JATENG-DIY;DEMAK;#N/A;#N/A
CELEP;AREA 3;09.JATIM;LAMONGAN;#N/A;#N/A
CIAMIS;AREA 2;07.JABAR;TASIKMALAYA;TASIKMALAYA;TRUE
CIANJUR;AREA 2;07.JABAR;SOREANG;SOREANG;TRUE
CIBEUREUM;AREA 2;07.JABAR;KUNINGAN;#N/A;#N/A
CILACAP;AREA 3;08.JATENG-DIY;PURWOKERTO;PURWOKERTO;TRUE
CIREBON;AREA 2;07.JABAR;CIREBON;CIREBON;TRUE
DAIRI;AREA 1;01.SUMBAGUT;PEMATANG SIANTAR;PEMATANG SIANTAR;TRUE
DELI SERDANG;AREA 1;01.SUMBAGUT;CENTRAL MEDAN;CENTRAL MEDAN;TRUE
DELI SERDANG;AREA 1;01.SUMBAGUT;PEMATANG SIANTAR;CENTRAL MEDAN;FALSE
DELI SERDANG;AREA 1;01.SUMBAGUT;WESTERN MEDAN;CENTRAL MEDAN;FALSE
DEMAK;AREA 3;08.JATENG-DIY;SEMARANG;SEMARANG;TRUE
DHARMASRAYA;AREA 1;02.SUMBAGTENG;PADANG;PADANG;TRUE
DOMPU;AREA 3;10.BALI NUSRA;MATARAM;MATARAM;TRUE
DONGGALA;AREA 4;12.SULAWESI;PALU;PALU;TRUE
DONOHARJO;AREA 3;08.JATENG-DIY;SURAKARTA;#N/A;#N/A
EMPAT LAWANG;AREA 1;03.SUMBAGSEL;BENGKULU;BENGKULU;TRUE
ENDE;AREA 3;10.BALI NUSRA;KUPANG;KUPANG;TRUE
ENREKANG;AREA 4;12.SULAWESI;PARE-PARE;PARE-PARE;TRUE
FAKFAK;AREA 4;13.MALUKU DAN PAPUA;SORONG;SORONG;TRUE
FLORES TIMUR;AREA 3;10.BALI NUSRA;KUPANG;KUPANG;TRUE
GARUT;AREA 2;07.JABAR;GARUT;TASIKMALAYA;FALSE
GARUT;AREA 2;07.JABAR;TASIKMALAYA;TASIKMALAYA;TRUE
GAYO LUES;AREA 1;01.SUMBAGUT;PEMATANG SIANTAR;PEMATANG SIANTAR;TRUE
GIANYAR;AREA 3;10.BALI NUSRA;DENPASAR;DENPASAR;TRUE
GORONTALO;AREA 4;12.SULAWESI;GORONTALO;GORONTALO;TRUE
GORONTALO UTARA;AREA 4;12.SULAWESI;GORONTALO;GORONTALO;TRUE
GOWA;AREA 4;12.SULAWESI;MAKASSAR;MAKASSAR;TRUE
GRESIK;AREA 3;09.JATIM;LAMONGAN;LAMONGAN;TRUE
GROBOGAN;AREA 3;08.JATENG-DIY;SURAKARTA;SURAKARTA;TRUE
GUNUNG KIDUL;AREA 3;08.JATENG-DIY;YOGYAKARTA;YOGYAKARTA;TRUE
GUNUNG MAS;AREA 4;11.KALIMANTAN;PALANGKARAYA;PALANGKARAYA;TRUE
GUNUNGSITOLI;AREA 1;01.SUMBAGUT;PADANG SIDEMPUAN;PADANG SIDEMPUAN;TRUE
HALMAHERA BARAT;AREA 4;12.SULAWESI;MANADO;MANADO;TRUE
HALMAHERA SELATAN;AREA 4;12.SULAWESI;MANADO;MANADO;TRUE
HALMAHERA TENGAH;AREA 4;12.SULAWESI;;MANADO;FALSE
HALMAHERA TENGAH;AREA 4;12.SULAWESI;MANADO;MANADO;TRUE
HALMAHERA TIMUR;AREA 4;12.SULAWESI;MANADO;MANADO;TRUE
HALMAHERA UTARA;AREA 4;12.SULAWESI;MANADO;MANADO;TRUE
HULU SUNGAI SELATAN;AREA 4;11.KALIMANTAN;BANJARMASIN;BANJARMASIN;TRUE
HULU SUNGAI TENGAH;AREA 4;11.KALIMANTAN;BANJARMASIN;BANJARMASIN;TRUE
HULU SUNGAI UTARA;AREA 4;11.KALIMANTAN;BANJARMASIN;BANJARMASIN;TRUE
HUMBANG HASUNDUTAN;AREA 1;01.SUMBAGUT;PEMATANG SIANTAR;PEMATANG SIANTAR;TRUE
INDRAGIRI HILIR;AREA 1;02.SUMBAGTENG;PEKANBARU;PEKANBARU;TRUE
INDRAGIRI HULU;AREA 1;02.SUMBAGTENG;PEKANBARU;PEKANBARU;TRUE
INDRAMAYU;AREA 2;07.JABAR;CIREBON;CIREBON;TRUE
JAKARTA BARAT;AREA 2;04.CENTRAL JABOTABEK;JAKARTA RAYA;JAKARTA RAYA;TRUE
JAKARTA PUSAT;AREA 2;04.CENTRAL JABOTABEK;JAKARTA RAYA;JAKARTA RAYA;TRUE
JAKARTA SELATAN;AREA 2;04.CENTRAL JABOTABEK;JAKARTA RAYA;JAKARTA RAYA;TRUE
JAKARTA TIMUR;AREA 2;04.CENTRAL JABOTABEK;JAKARTA RAYA;JAKARTA RAYA;TRUE
JAKARTA UTARA;AREA 2;04.CENTRAL JABOTABEK;JAKARTA RAYA;JAKARTA RAYA;TRUE
JAYAPURA;AREA 4;13.MALUKU DAN PAPUA;JAYAPURA;JAYAPURA;TRUE
JAYAWIJAYA;AREA 4;13.MALUKU DAN PAPUA;JAYAPURA;JAYAPURA;TRUE
JEMBER;AREA 3;09.JATIM;JEMBER;JEMBER;TRUE
JEMBRANA;AREA 3;10.BALI NUSRA;DENPASAR;DENPASAR;TRUE
JENEPONTO;AREA 4;12.SULAWESI;MAKASSAR;MAKASSAR;TRUE
JEPARA;AREA 3;08.JATENG-DIY;SEMARANG;SEMARANG;TRUE
JOMBANG;AREA 3;09.JATIM;MADIUN;MADIUN;TRUE
KAIMANA;AREA 4;13.MALUKU DAN PAPUA;SORONG;SORONG;TRUE
KAMPAR;AREA 1;02.SUMBAGTENG;DUMAI;DUMAI;TRUE
KAMPAR;AREA 1;02.SUMBAGTENG;PEKANBARU;DUMAI;FALSE
KAMPUNG LALANG;AREA 1;01.SUMBAGUT;ASAHAN;#N/A;#N/A
KANIGORO;AREA 3;09.JATIM;TULUNGAGUNG;#N/A;#N/A
KAPUAS;AREA 4;11.KALIMANTAN;PALANGKARAYA;PALANGKARAYA;TRUE
KAPUAS HULU;AREA 4;11.KALIMANTAN;PONTIANAK;PONTIANAK;TRUE
KARANG ASEM;AREA 3;10.BALI NUSRA;DENPASAR;DENPASAR;TRUE
KARANGANNUNGGI;AREA 1;02.SUMBAGTENG;ROKAN HULU;#N/A;#N/A
KARANGANYAR;AREA 3;08.JATENG-DIY;SURAKARTA;SURAKARTA;TRUE
KARAWANG;AREA 2;06.EASTERN JABOTABEK;KARAWANG;KARAWANG;TRUE
KARAWANG;AREA 2;06.EASTERN JABOTABEK;KARAWANG PURWAKARTA;KARAWANG;FALSE
KARIMUN;AREA 1;02.SUMBAGTENG;BATAM;BATAM;TRUE
KARO;AREA 1;01.SUMBAGUT;PEMATANG SIANTAR;PEMATANG SIANTAR;TRUE
KATINGAN;AREA 4;11.KALIMANTAN;PALANGKARAYA;PALANGKARAYA;TRUE
KAUR;AREA 1;03.SUMBAGSEL;BENGKULU;BENGKULU;TRUE
KAYONG UTARA;AREA 4;11.KALIMANTAN;PONTIANAK;PONTIANAK;TRUE
KEBUMEN;AREA 3;08.JATENG-DIY;PURWOKERTO;PURWOKERTO;TRUE
KEDIRI;AREA 3;09.JATIM;MADIUN;MADIUN;TRUE
KEEROM;AREA 4;13.MALUKU DAN PAPUA;JAYAPURA;JAYAPURA;TRUE
KENCANA;AREA 2;07.JABAR;KUNINGAN;#N/A;#N/A
KENDAL;AREA 3;08.JATENG-DIY;;SEMARANG;FALSE
KENDAL;AREA 3;08.JATENG-DIY;SEMARANG;SEMARANG;TRUE
KENDARI;AREA 4;12.SULAWESI;KENDARI;#N/A;#N/A
KEPAHIANG;AREA 1;03.SUMBAGSEL;BENGKULU;BENGKULU;TRUE
KEPRABON;AREA 3;08.JATENG-DIY;SURAKARTA;#N/A;#N/A
KEPULAUAN ANAMBAS;AREA 1;02.SUMBAGTENG;BATAM;BATAM;TRUE
KEPULAUAN ARU;AREA 4;13.MALUKU DAN PAPUA;AMBON;AMBON;TRUE
KEPULAUAN MERANTI;AREA 1;02.SUMBAGTENG;BATAM;BATAM;TRUE
KEPULAUAN SANGIHE;AREA 4;12.SULAWESI;MANADO;MANADO;TRUE
KEPULAUAN SELAYAR;AREA 4;12.SULAWESI;MAKASSAR;MAKASSAR;TRUE
KEPULAUAN SULA;AREA 4;12.SULAWESI;PALU;PALU;TRUE
KEPULAUAN YAPEN;AREA 4;13.MALUKU DAN PAPUA;JAYAPURA;JAYAPURA;TRUE
KERINCI;AREA 1;03.SUMBAGSEL;JAMBI;JAMBI;TRUE
KETAPANG;AREA 4;11.KALIMANTAN;PONTIANAK;PONTIANAK;TRUE
KIJANG;AREA 1;02.SUMBAGTENG;TANJUNG PINANG;#N/A;#N/A
KLATEN;AREA 3;08.JATENG-DIY;;SURAKARTA;FALSE
KLATEN;AREA 3;08.JATENG-DIY;SURAKARTA;SURAKARTA;TRUE
KLUNGKUNG;AREA 3;10.BALI NUSRA;DENPASAR;DENPASAR;TRUE
KOLAKA;AREA 4;12.SULAWESI;KENDARI;KENDARI;TRUE
KOLAKA TIMUR;AREA 4;12.SULAWESI;KENDARI;KENDARI;TRUE
KOLAKA UTARA;AREA 4;12.SULAWESI;KENDARI;KENDARI;TRUE
KONAWE;AREA 4;12.SULAWESI;KENDARI;KENDARI;TRUE
KONAWE SELATAN;AREA 4;12.SULAWESI;KENDARI;KENDARI;TRUE
KONAWE UTARA;AREA 4;12.SULAWESI;KENDARI;KENDARI;TRUE
KOTA AMBON;AREA 4;13.MALUKU DAN PAPUA;AMBON;AMBON;TRUE
KOTA B A T A M;AREA 1;02.SUMBAGTENG;BATAM;BATAM;TRUE
KOTA BALIKPAPAN;AREA 4;11.KALIMANTAN;BALIKPAPAN;BALIKPAPAN;TRUE
KOTA BANDA ACEH;AREA 1;01.SUMBAGUT;BANDA ACEH;BANDA ACEH;TRUE
KOTA BANDAR LAMPUNG;AREA 1;03.SUMBAGSEL;LAMPUNG;LAMPUNG;TRUE
KOTA BANDUNG;AREA 2;07.JABAR;BANDUNG;BANDUNG;TRUE
KOTA BANJAR;AREA 2;07.JABAR;TASIKMALAYA;TASIKMALAYA;TRUE
KOTA BANJAR BARU;AREA 4;11.KALIMANTAN;BANJARMASIN;BANJARMASIN;TRUE
KOTA BANJARMASIN;AREA 4;11.KALIMANTAN;BANJARMASIN;BANJARMASIN;TRUE
