id;AREA;REGIONAL;BRANCH;CLUSTER;CITY
1;PAMASUKA;MALUKU DAN PAPUA;JAYAPURA;SENTANI;JAYAPURA
2;PAMASUKA;MALUKU DAN PAPUA;SORONG;MANOKWARI NABIRE;MAYBRAT
3;PAMASUKA;MALUKU DAN PAPUA;SORONG;MANOKWARI NABIRE;NABIRE
4;PAMASUKA;KALIMANTAN;PONTIANAK;KHATULISTIWA;KETAPANG
5;PAMASUKA;KALIMANTAN;PONTIANAK;SINTANG;KAPUAS HULU
6;PAMASUKA;KALIMANTAN;PALANGKARAYA;KOTAWARINGIN;KOTA WARINGIN BARAT
7;PAMASUKA;KALIMANTAN;PALANGKARAYA;BARITO;BARITO UTARA
8;PAMASUKA;KALIMANTAN;PALANGKARAYA;PALANGKARAYA INNER;GUNUNG MAS
9;PAMASUKA;MALUKU DAN PAPUA;SORONG;MANOKWARI NABIRE;TELUK WONDAMA
10;PAMASUKA;MALUKU DAN PAPUA;SORONG;MANOKWARI NABIRE;TELUK BINTUNI
11;PAMASUKA;MALUKU DAN PAPUA;TIMIKA;MERAUKE;MAPPI
12;PAMASUKA;MALUKU DAN PAPUA;JAYAPURA;SENTANI;KEPULAUAN YAPEN
13;PAMASUKA;MALUKU DAN PAPUA;JAYAPURA;SENTANI;BIAK NUMFOR
14;PAMASUKA;MALUKU DAN PAPUA;TIMIKA;MERAUKE;ASMAT
15;PAMASUKA;MALUKU DAN PAPUA;TIMIKA;MERAUKE;YAHUKIMO
16;PAMASUKA;MALUKU DAN PAPUA;TIMIKA;MERAUKE;PEGUNUNGAN BINTANG
17;PAMASUKA;MALUKU DAN PAPUA;JAYAPURA;SENTANI;TOLIKARA
18;PAMASUKA;SULAWESI;MANADO;TERNATE;HALMAHERA UTARA
19;PAMASUKA;KALIMANTAN;SAMARINDA;BONTANG;KUTAI TIMUR
20;PAMASUKA;KALIMANTAN;TARAKAN;KALTARA;NUNUKAN
21;JAWA - BALI - NUSRA;BALI NUSRA;KUPANG;KOTA KUPANG;TIMOR TENGAH SELATAN
22;JAWA - BALI - NUSRA;BALI NUSRA;KUPANG;FLORES SUMBA;FLORES TIMUR
23;JAWA - BALI - NUSRA;BALI NUSRA;KUPANG;FLORES SUMBA;ENDE
24;JAWA - BALI - NUSRA;BALI NUSRA;KUPANG;FLORES SUMBA;SUMBA BARAT DAYA
25;PAMASUKA;KALIMANTAN;PONTIANAK;SAMBAS;SAMBAS
26;PAMASUKA;KALIMANTAN;PALANGKARAYA;KOTAWARINGIN;KOTA WARINGIN TIMUR
27;PAMASUKA;MALUKU DAN PAPUA;JAYAPURA;SENTANI;JAYAWIJAYA
28;PAMASUKA;MALUKU DAN PAPUA;JAYAPURA;SENTANI;WAROPEN
29;PAMASUKA;SULAWESI;MANADO;TERNATE;HALMAHERA SELATAN
30;PAMASUKA;MALUKU DAN PAPUA;SORONG;SORONG RAJA AMPAT;RAJA AMPAT
31;JAWA - BALI - NUSRA;BALI NUSRA;KUPANG;FLORES SUMBA;LEMBATA
32;PAMASUKA;KALIMANTAN;BANJARMASIN;BATULICIN;KOTA BARU
33;PAMASUKA;KALIMANTAN;BANJARMASIN;BANJAR;BANJAR
34;PAMASUKA;MALUKU DAN PAPUA;SORONG;MANOKWARI NABIRE;TAMBRAUW
35;PAMASUKA;MALUKU DAN PAPUA;TIMIKA;TIMIKA;MIMIKA
36;PAMASUKA;MALUKU DAN PAPUA;TIMIKA;MERAUKE;BOVEN DIGOEL
37;JAWA - BALI - NUSRA;BALI NUSRA;KUPANG;KOTA KUPANG;TIMOR TENGAH UTARA
38;PAMASUKA;MALUKU DAN PAPUA;TIMIKA;MERAUKE;PUNCAK
39;PAMASUKA;MALUKU DAN PAPUA;JAYAPURA;SENTANI;DOGIYAI
40;PAMASUKA;MALUKU DAN PAPUA;JAYAPURA;SENTANI;INTAN JAYA
41;JAWA - BALI - NUSRA;BALI NUSRA;MATARAM;MATARAM;SUMBAWA
42;JAWA - BALI - NUSRA;JATIM;MALANG;MALANG;MALANG
43;JAWA - BALI - NUSRA;BALI NUSRA;KUPANG;FLORES SUMBA;MANGGARAI BARAT
44;PAMASUKA;KALIMANTAN;PALANGKARAYA;BARITO;BARITO SELATAN
45;PAMASUKA;MALUKU DAN PAPUA;SORONG;MANOKWARI NABIRE;MANOKWARI
46;PAMASUKA;MALUKU DAN PAPUA;JAYAPURA;SENTANI;KEEROM
47;PAMASUKA;MALUKU DAN PAPUA;JAYAPURA;JAYAPURA;KOTA JAYAPURA
48;JAWA - BALI - NUSRA;BALI NUSRA;KUPANG;FLORES SUMBA;SUMBA TENGAH
49;JAWA - BALI - NUSRA;BALI NUSRA;KUPANG;KOTA KUPANG;KOTA KUPANG
50;PAMASUKA;KALIMANTAN;BANJARMASIN;HULU SUNGAI;TAPIN
51;PAMASUKA;KALIMANTAN;BANJARMASIN;HULU SUNGAI;TABALONG
52;PAMASUKA;KALIMANTAN;SAMARINDA;KUTAI;KUTAI BARAT
53;PAMASUKA;MALUKU DAN PAPUA;SORONG;MANOKWARI NABIRE;MANOKWARI SELATAN
54;PAMASUKA;MALUKU DAN PAPUA;SORONG;SORONG RAJA AMPAT;SORONG
55;PAMASUKA;KALIMANTAN;PONTIANAK;SINTANG;SANGGAU
56;PAMASUKA;KALIMANTAN;SAMARINDA;KUTAI;MAHAKAM ULU
57;PAMASUKA;MALUKU DAN PAPUA;SORONG;MANOKWARI NABIRE;PEGUNUNGAN ARFAK
58;PAMASUKA;SULAWESI;MANADO;TERNATE;HALMAHERA BARAT
59;PAMASUKA;MALUKU DAN PAPUA;JAYAPURA;SENTANI;LANNY JAYA
60;PAMASUKA;MALUKU DAN PAPUA;JAYAPURA;SENTANI;SARMI
61;PAMASUKA;SULAWESI;MANADO;TERNATE;PULAU MOROTAI
62;PAMASUKA;SULAWESI;PALU;LUWUK BANGGAI;PULAU TALIABU
63;PAMASUKA;MALUKU DAN PAPUA;SORONG;MANOKWARI NABIRE;SORONG SELATAN
64;PAMASUKA;MALUKU DAN PAPUA;AMBON;KEPULAUAN TUAL;KOTA TUAL
65;PAMASUKA;SULAWESI;MANADO;TERNATE;HALMAHERA TIMUR
66;PAMASUKA;SULAWESI;MANADO;TERNATE;HALMAHERA TENGAH
67;PAMASUKA;SULAWESI;PALU;LUWUK BANGGAI;KEPULAUAN SULA
68;PAMASUKA;MALUKU DAN PAPUA;SORONG;SORONG RAJA AMPAT;KOTA SORONG
69;PAMASUKA;SULAWESI;MANADO;TERNATE;KOTA TERNATE
70;PAMASUKA;SULAWESI;MANADO;TERNATE;KOTA TIDORE KEPULAUAN
71;PAMASUKA;KALIMANTAN;PONTIANAK;SAMBAS;KOTA SINGKAWANG
72;PAMASUKA;MALUKU DAN PAPUA;JAYAPURA;SENTANI;MAMBERAMO TENGAH
73;PAMASUKA;MALUKU DAN PAPUA;JAYAPURA;SENTANI;YALIMO
74;PAMASUKA;MALUKU DAN PAPUA;SORONG;MANOKWARI NABIRE;FAKFAK
75;PAMASUKA;MALUKU DAN PAPUA;TIMIKA;MERAUKE;MERAUKE
76;PAMASUKA;KALIMANTAN;PONTIANAK;KHATULISTIWA;KUBU RAYA
77;PAMASUKA;KALIMANTAN;BANJARMASIN;HULU SUNGAI;HULU SUNGAI SELATAN
78;PAMASUKA;KALIMANTAN;PALANGKARAYA;PALANGKARAYA OUTER;PULANG PISAU
79;PAMASUKA;MALUKU DAN PAPUA;JAYAPURA;SENTANI;PUNCAK JAYA
80;JAWA - BALI - NUSRA;BALI NUSRA;KUPANG;KOTA KUPANG;MALAKA
81;PAMASUKA;KALIMANTAN;BANJARMASIN;HULU SUNGAI;HULU SUNGAI UTARA
82;PAMASUKA;KALIMANTAN;PONTIANAK;SINTANG;SINTANG
83;PAMASUKA;KALIMANTAN;PONTIANAK;KHATULISTIWA;KOTA PONTIANAK
84;PAMASUKA;KALIMANTAN;BALIKPAPAN;KOTA BALIKPAPAN;PENAJAM PASER UTARA
85;PAMASUKA;SULAWESI;GORONTALO;GORONTALO;BOLAANG MONGONDOW
86;PAMASUKA;MALUKU DAN PAPUA;JAYAPURA;SENTANI;PANIAI
87;PAMASUKA;KALIMANTAN;PALANGKARAYA;PALANGKARAYA INNER;KATINGAN
88;PAMASUKA;KALIMANTAN;BANJARMASIN;BATULICIN;TANAH LAUT
89;JAWA - BALI - NUSRA;BALI NUSRA;KUPANG;FLORES SUMBA;NGADA
90;PAMASUKA;KALIMANTAN;PALANGKARAYA;PALANGKARAYA OUTER;KAPUAS
91;PAMASUKA;MALUKU DAN PAPUA;JAYAPURA;SENTANI;DEIYAI
92;PAMASUKA;KALIMANTAN;SAMARINDA;BONTANG;BERAU
93;PAMASUKA;KALIMANTAN;BANJARMASIN;HULU SUNGAI;BARITO KUALA
94;PAMASUKA;KALIMANTAN;BALIKPAPAN;KOTA BALIKPAPAN;PASER
95;PAMASUKA;MALUKU DAN PAPUA;SORONG;MANOKWARI NABIRE;KAIMANA
96;JAWA - BALI - NUSRA;BALI NUSRA;KUPANG;FLORES SUMBA;NAGEKEO
97;PAMASUKA;KALIMANTAN;PONTIANAK;KHATULISTIWA;KAYONG UTARA
98;PAMASUKA;MALUKU DAN PAPUA;JAYAPURA;SENTANI;SUPIORI
99;PAMASUKA;MALUKU DAN PAPUA;JAYAPURA;SENTANI;MAMBERAMO RAYA
100;PAMASUKA;KALIMANTAN;TARAKAN;KALTARA;KOTA TARAKAN
101;PAMASUKA;KALIMANTAN;PONTIANAK;SINTANG;MELAWI
102;PAMASUKA;KALIMANTAN;SAMARINDA;BONTANG;KOTA BONTANG
103;PAMASUKA;KALIMANTAN;TARAKAN;KALTARA;MALINAU
104;JAWA - BALI - NUSRA;BALI NUSRA;KUPANG;FLORES SUMBA;ALOR
105;JAWA - BALI - NUSRA;BALI NUSRA;KUPANG;FLORES SUMBA;SIKKA
106;JAWA - BALI - NUSRA;BALI NUSRA;KUPANG;KOTA KUPANG;ROTE NDAO
107;SUMATERA;SUMBAGUT;BANDA ACEH;BIREUEN;ACEH TENGAH
108;SUMATERA;SUMBAGUT;BANDA ACEH;ACEH;ACEH BESAR
109;JAWA - BALI - NUSRA;BALI NUSRA;KUPANG;FLORES SUMBA;MANGGARAI TIMUR
110;PAMASUKA;KALIMANTAN;PONTIANAK;SAMBAS;LANDAK
111;SUMATERA;SUMBAGUT;BANDA ACEH;ACEH;PIDIE
112;SUMATERA;SUMBAGUT;BANDA ACEH;BIREUEN;BIREUEN
113;PAMASUKA;KALIMANTAN;PONTIANAK;SAMBAS;MEMPAWAH
114;PAMASUKA;MALUKU DAN PAPUA;TIMIKA;MERAUKE;NDUGA
115;SUMATERA;SUMBAGUT;WESTERN MEDAN;TAMIANG;ACEH TIMUR
116;PAMASUKA;KALIMANTAN;BANJARMASIN;BANJAR;KOTA BANJARMASIN
117;SUMATERA;SUMBAGUT;WESTERN MEDAN;TAMIANG;ACEH UTARA
118;PAMASUKA;KALIMANTAN;BANJARMASIN;BANJAR;KOTA BANJAR BARU
119;SUMATERA;SUMBAGUT;BANDA ACEH;MEULABOH;ACEH JAYA
120;SUMATERA;SUMBAGUT;WESTERN MEDAN;TAMIANG;KOTA LANGSA
121;SUMATERA;SUMBAGUT;PADANG SIDEMPUAN;SIDEMPUAN;MANDAILING NATAL
122;SUMATERA;SUMBAGUT;PADANG SIDEMPUAN;TAPANULI;TAPANULI UTARA
123;PAMASUKA;KALIMANTAN;SAMARINDA;MAHAKAM;KOTA SAMARINDA
124;PAMASUKA;SULAWESI;MANADO;MINAHASA TALAUD;MINAHASA
125;JAWA - BALI - NUSRA;BALI NUSRA;KUPANG;KOTA KUPANG;BELU
126;SUMATERA;SUMBAGUT;BANDA ACEH;BIREUEN;KOTA LHOKSEUMAWE
127;JAWA - BALI - NUSRA;BALI NUSRA;KUPANG;FLORES SUMBA;SABU RAIJUA
128;PAMASUKA;KALIMANTAN;BANJARMASIN;BATULICIN;TANAH BUMBU
129;SUMATERA;SUMBAGUT;BANDA ACEH;MEULABOH;ACEH BARAT DAYA
130;SUMATERA;SUMBAGUT;BANDA ACEH;MEULABOH;NAGAN RAYA
131;PAMASUKA;KALIMANTAN;PONTIANAK;SAMBAS;BENGKAYANG
132;PAMASUKA;KALIMANTAN;PONTIANAK;SINTANG;SEKADAU
133;SUMATERA;SUMBAGUT;PEMATANG SIANTAR;KARO;KARO
134;PAMASUKA;KALIMANTAN;BALIKPAPAN;KOTA BALIKPAPAN;KOTA BALIKPAPAN
135;PAMASUKA;KALIMANTAN;PALANGKARAYA;PALANGKARAYA INNER;KOTA PALANGKARAYA
136;SUMATERA;SUMBAGUT;BANDA ACEH;ACEH;KOTA BANDA ACEH
137;SUMATERA;SUMBAGUT;PEMATANG SIANTAR;KARO;GAYO LUES
138;SUMATERA;SUMBAGUT;PEMATANG SIANTAR;ASAHAN;ASAHAN
139;SUMATERA;SUMBAGUT;CENTRAL MEDAN;SERDANG;DELI SERDANG
140;SUMATERA;SUMBAGUT;PADANG SIDEMPUAN;TAPANULI;NIAS SELATAN
141;JAWA - BALI - NUSRA;BALI NUSRA;KUPANG;FLORES SUMBA;MANGGARAI
142;PAMASUKA;KALIMANTAN;BANJARMASIN;HULU SUNGAI;BALANGAN
143;SUMATERA;SUMBAGUT;PEMATANG SIANTAR;KARO;ACEH TENGGARA
144;PAMASUKA;KALIMANTAN;PALANGKARAYA;BARITO;MURUNG RAYA
145;PAMASUKA;KALIMANTAN;BANJARMASIN;HULU SUNGAI;HULU SUNGAI TENGAH
146;SUMATERA;SUMBAGUT;PEMATANG SIANTAR;KARO;DAIRI
147;SUMATERA;SUMBAGUT;PEMATANG SIANTAR;SIANTAR;HUMBANG HASUNDUTAN
148;PAMASUKA;KALIMANTAN;SAMARINDA;KUTAI;KUTAI KARTANEGARA
149;PAMASUKA;KALIMANTAN;TARAKAN;KALTARA;TANA TIDUNG
150;SUMATERA;SUMBAGUT;BANDA ACEH;ACEH;KOTA SABANG
151;SUMATERA;SUMBAGUT;PADANG SIDEMPUAN;TAPANULI;TAPANULI TENGAH
152;SUMATERA;SUMBAGUT;WESTERN MEDAN;LANGKAT;LANGKAT
153;PAMASUKA;KALIMANTAN;PALANGKARAYA;KOTAWARINGIN;SERUYAN
154;SUMATERA;SUMBAGUT;BANDA ACEH;MEULABOH;ACEH SELATAN
155;SUMATERA;SUMBAGUT;BANDA ACEH;MEULABOH;ACEH BARAT
156;SUMATERA;SUMBAGUT;PEMATANG SIANTAR;ASAHAN;LABUHAN BATU
157;SUMATERA;SUMBAGUT;PADANG SIDEMPUAN;SIDEMPUAN;LABUHAN BATU
158;PAMASUKA;KALIMANTAN;TARAKAN;KALTARA;BULUNGAN
159;SUMATERA;SUMBAGUT;WESTERN MEDAN;LANGKAT;DELI SERDANG
160;SUMATERA;SUMBAGUT;CENTRAL MEDAN;MEDAN;DELI SERDANG
161;PAMASUKA;KALIMANTAN;PALANGKARAYA;KOTAWARINGIN;LAMANDAU
162;PAMASUKA;KALIMANTAN;PALANGKARAYA;BARITO;BARITO TIMUR
163;SUMATERA;SUMBAGUT;PEMATANG SIANTAR;SIANTAR;SIMALUNGUN
164;SUMATERA;SUMBAGUT;PEMATANG SIANTAR;ASAHAN;SIMALUNGUN
165;SUMATERA;SUMBAGUT;BANDA ACEH;ACEH;PIDIE JAYA
166;JAWA - BALI - NUSRA;BALI NUSRA;KUPANG;KOTA KUPANG;KUPANG
167;SUMATERA;SUMBAGUT;PEMATANG SIANTAR;KARO;DELI SERDANG
168;PAMASUKA;KALIMANTAN;PALANGKARAYA;KOTAWARINGIN;SUKAMARA
169;SUMATERA;SUMBAGSEL;BENGKULU;MUSI RAWAS;LAHAT
170;JABOTABEK & JABAR;JABAR;CIREBON;CIREBON;CIREBON
171;JABOTABEK & JABAR;JABAR;SOREANG;SUMEDANG;SUMEDANG
172;SUMATERA;SUMBAGSEL;LAMPUNG;LAMPUNG UTARA;WAY KANAN
173;SUMATERA;SUMBAGTENG;PEKANBARU;TEMBILAHAN;INDRAGIRI HILIR
174;JABOTABEK & JABAR;EASTERN JABOTABEK;KARAWANG;KARAWANG PURWAKARTA;PURWAKARTA
175;JABOTABEK & JABAR;EASTERN JABOTABEK;KARAWANG;BEKASI UTARA;BEKASI
176;JABOTABEK & JABAR;JABAR;TASIKMALAYA;TASIKMALAYA;KOTA TASIKMALAYA
177;SUMATERA;SUMBAGSEL;BENGKULU;BUMI RAFFLESIA;LEBONG
178;SUMATERA;SUMBAGSEL;LAMPUNG;LAMPUNG UTARA;TANGGAMUS
179;SUMATERA;SUMBAGSEL;LAMPUNG;LAMPUNG TENGAH;LAMPUNG TENGAH
180;SUMATERA;SUMBAGTENG;PADANG;BUKIT TINGGI;KOTA PAYAKUMBUH
181;SUMATERA;SUMBAGTENG;DUMAI;ROKAN HULU;ROKAN HULU
182;SUMATERA;SUMBAGSEL;JAMBI;JAMBI BARAT;KERINCI
183;SUMATERA;SUMBAGSEL;JAMBI;JAMBI INNER;MUARO JAMBI
184;SUMATERA;SUMBAGSEL;JAMBI;JAMBI BARAT;KOTA SUNGAI PENUH
185;SUMATERA;SUMBAGSEL;PALEMBANG;OGAN KOMERING;OGAN KOMERING ULU SELATAN
186;SUMATERA;SUMBAGSEL;PALEMBANG;BUMI SRIWIJAYA;OGAN ILIR
187;SUMATERA;SUMBAGSEL;BENGKULU;MUSI RAWAS;KOTA LUBUKLINGGAU
188;SUMATERA;SUMBAGUT;PEMATANG SIANTAR;SIANTAR;SERDANG BEDAGAI
189;SUMATERA;SUMBAGUT;PADANG SIDEMPUAN;SIDEMPUAN;PADANG LAWAS UTARA
190;SUMATERA;SUMBAGSEL;BENGKULU;MUSI RAWAS;MUARA ENIM
191;SUMATERA;SUMBAGSEL;PALEMBANG;BUMI SRIWIJAYA;MUARA ENIM
192;SUMATERA;SUMBAGSEL;BENGKULU;MUSI RAWAS;MUSI RAWAS
193;SUMATERA;SUMBAGUT;PADANG SIDEMPUAN;TAPANULI;NIAS UTARA
194;SUMATERA;SUMBAGUT;PADANG SIDEMPUAN;TAPANULI;NIAS BARAT
195;SUMATERA;SUMBAGTENG;PADANG;PADANG PARIAMAN;KEPULAUAN MENTAWAI
196;SUMATERA;SUMBAGSEL;PALEMBANG;BANYUASIN;MUSI BANYUASIN
197;SUMATERA;SUMBAGTENG;PADANG;BUKIT TINGGI;PASAMAN
198;SUMATERA;SUMBAGTENG;PEKANBARU;GREATER PEKANBARU;S I A K
199;SUMATERA;SUMBAGSEL;BENGKULU;BUMI RAFFLESIA;BENGKULU SELATAN
200;SUMATERA;SUMBAGTENG;DUMAI;DUMAI;ROKAN HILIR
201;SUMATERA;SUMBAGSEL;JAMBI;JAMBI BARAT;MERANGIN
202;SUMATERA;SUMBAGSEL;JAMBI;JAMBI BARAT;SAROLANGUN
203;SUMATERA;SUMBAGSEL;PALEMBANG;OGAN KOMERING;OGAN KOMERING ILIR
204;SUMATERA;SUMBAGUT;BANDA ACEH;BIREUEN;BENER MERIAH
205;SUMATERA;SUMBAGTENG;PADANG;PADANG PARIAMAN;PESISIR SELATAN
206;SUMATERA;SUMBAGTENG;PADANG;BUKIT TINGGI;LIMA PULUH KOTA
207;SUMATERA;SUMBAGSEL;PALEMBANG;BANYUASIN;BANYU ASIN
208;SUMATERA;SUMBAGTENG;PEKANBARU;TEMBILAHAN;KUANTAN SINGINGI
209;SUMATERA;SUMBAGTENG;BATAM;GREATER BATAM;KEPULAUAN MERANTI
210;SUMATERA;SUMBAGSEL;JAMBI;JAMBI BARAT;TEBO
211;JABOTABEK & JABAR;EASTERN JABOTABEK;BOGOR;NEW DEPOK;KOTA DEPOK
212;JABOTABEK & JABAR;EASTERN JABOTABEK;BEKASI;CILEUNGSI;KOTA DEPOK
213;SUMATERA;SUMBAGUT;PEMATANG SIANTAR;KARO;PAKPAK BHARAT
214;SUMATERA;SUMBAGSEL;BENGKULU;MUSI RAWAS;KOTA PAGAR ALAM
215;SUMATERA;SUMBAGUT;PEMATANG SIANTAR;SIANTAR;SAMOSIR
216;SUMATERA;SUMBAGUT;PEMATANG SIANTAR;ASAHAN;LABUHAN BATU UTARA
217;SUMATERA;SUMBAGSEL;JAMBI;JAMBI INNER;BATANG HARI
218;SUMATERA;SUMBAGUT;PADANG SIDEMPUAN;TAPANULI;GUNUNGSITOLI
219;SUMATERA;SUMBAGTENG;PADANG;BUKIT TINGGI;AGAM
220;SUMATERA;SUMBAGSEL;PANGKAL PINANG;BANGKA BELITUNG;KOTA PANGKAL PINANG
221;SUMATERA;SUMBAGTENG;PEKANBARU;TEMBILAHAN;PELALAWAN
222;SUMATERA;SUMBAGTENG;DUMAI;DUMAI;BENGKALIS
223;SUMATERA;SUMBAGSEL;PALEMBANG;OGAN KOMERING;OGAN KOMERING ULU
224;SUMATERA;SUMBAGUT;CENTRAL MEDAN;SERDANG;SERDANG BEDAGAI
225;SUMATERA;SUMBAGSEL;JAMBI;JAMBI INNER;TANJUNG JABUNG BARAT
226;SUMATERA;SUMBAGSEL;PALEMBANG;OGAN KOMERING;OGAN KOMERING ULU TIMUR
227;SUMATERA;SUMBAGSEL;PALEMBANG;BUMI SRIWIJAYA;PENUKAL ABAB LEMATANG ILIR
228;SUMATERA;SUMBAGSEL;BENGKULU;BUMI RAFFLESIA;REJANG LEBONG
229;SUMATERA;SUMBAGUT;PEMATANG SIANTAR;ASAHAN;BATU BARA
230;SUMATERA;SUMBAGSEL;BENGKULU;BUMI RAFFLESIA;BENGKULU UTARA
231;SUMATERA;SUMBAGUT;PADANG SIDEMPUAN;SIDEMPUAN;PADANG LAWAS
232;SUMATERA;SUMBAGSEL;BENGKULU;BUMI RAFFLESIA;MUKOMUKO
233;SUMATERA;SUMBAGSEL;LAMPUNG;LAMPUNG TENGAH;LAMPUNG TIMUR
234;SUMATERA;SUMBAGSEL;BENGKULU;MUSI RAWAS;MUSI RAWAS UTARA
235;SUMATERA;SUMBAGSEL;LAMPUNG;LAMPUNG UTARA;TULANG BAWANG BARAT
236;SUMATERA;SUMBAGSEL;PANGKAL PINANG;BANGKA BELITUNG;BELITUNG TIMUR
237;SUMATERA;SUMBAGSEL;LAMPUNG;LAMPUNG UTARA;PESISIR BARAT
238;JABOTABEK & JABAR;CENTRAL JABOTABEK;JAKARTA RAYA;JAKPUSEL;JAKARTA PUSAT
239;JABOTABEK & JABAR;CENTRAL JABOTABEK;JAKARTA RAYA;NEW JAKUT;JAKARTA PUSAT
240;SUMATERA;SUMBAGSEL;JAMBI;JAMBI BARAT;BUNGO
241;SUMATERA;SUMBAGTENG;DUMAI;DUMAI;KOTA DUMAI
242;SUMATERA;SUMBAGSEL;JAMBI;JAMBI INNER;KOTA JAMBI
243;JABOTABEK & JABAR;EASTERN JABOTABEK;BEKASI;BEKASI SELATAN;KOTA BEKASI
244;SUMATERA;SUMBAGUT;PEMATANG SIANTAR;SIANTAR;KOTA PEMATANG SIANTAR
245;SUMATERA;SUMBAGTENG;PADANG;SOLOK SRAYA;SOLOK
246;SUMATERA;SUMBAGSEL;PALEMBANG;OGAN KOMERING;MESUJI
247;JABOTABEK & JABAR;JABAR;TASIKMALAYA;GARUT;GARUT
248;JABOTABEK & JABAR;JABAR;TASIKMALAYA;CIAMIS;CIAMIS
249;JABOTABEK & JABAR;JABAR;CIREBON;CIREBON;INDRAMAYU
250;SUMATERA;SUMBAGSEL;LAMPUNG;LAMPUNG UTARA;LAMPUNG UTARA
251;SUMATERA;SUMBAGSEL;PANGKAL PINANG;BANGKA BELITUNG;BANGKA SELATAN
252;JABOTABEK & JABAR;CENTRAL JABOTABEK;JAKARTA RAYA;JAKTIM 2;JAKARTA TIMUR
253;JABOTABEK & JABAR;JABAR;SOREANG;SOREANG;CIANJUR
254;JABOTABEK & JABAR;JABAR;CIREBON;KUNINGAN;KUNINGAN
255;SUMATERA;SUMBAGSEL;PANGKAL PINANG;BANGKA BELITUNG;BANGKA TENGAH
256;SUMATERA;SUMBAGSEL;PALEMBANG;BUMI SRIWIJAYA;KOTA PALEMBANG
257;SUMATERA;SUMBAGUT;PEMATANG SIANTAR;SIANTAR;KOTA TEBING TINGGI
258;JABOTABEK & JABAR;EASTERN JABOTABEK;BOGOR;SUKABUMI BOGOR;SUKABUMI
259;JABOTABEK & JABAR;JABAR;SOREANG;SUMEDANG;BANDUNG
260;JABOTABEK & JABAR;JABAR;TASIKMALAYA;TASIKMALAYA;TASIKMALAYA
261;SUMATERA;SUMBAGUT;PADANG SIDEMPUAN;SIDEMPUAN;LABUHAN BATU SELATAN
262;SUMATERA;SUMBAGUT;PADANG SIDEMPUAN;SIDEMPUAN;KOTA PADANGSIDIMPUAN
263;JABOTABEK & JABAR;CENTRAL JABOTABEK;JAKARTA RAYA;JAKTIM 1;JAKARTA TIMUR
264;SUMATERA;SUMBAGTENG;PADANG;PADANG PARIAMAN;PADANG PARIAMAN
265;JABOTABEK & JABAR;JABAR;SOREANG;SOREANG;BANDUNG
266;SUMATERA;SUMBAGSEL;JAMBI;JAMBI INNER;TANJUNG JABUNG TIMUR
267;SUMATERA;SUMBAGSEL;PALEMBANG;BUMI SRIWIJAYA;KOTA PRABUMULIH
268;SUMATERA;SUMBAGSEL;BENGKULU;MUSI RAWAS;EMPAT LAWANG
269;SUMATERA;SUMBAGTENG;PADANG;PADANG PARIAMAN;KOTA PARIAMAN
270;SUMATERA;SUMBAGUT;PEMATANG SIANTAR;ASAHAN;KOTA TANJUNG BALAI
271;SUMATERA;SUMBAGTENG;PADANG;PADANG PARIAMAN;KOTA PADANG
272;SUMATERA;SUMBAGTENG;PEKANBARU;TEMBILAHAN;INDRAGIRI HULU
273;JABOTABEK & JABAR;CENTRAL JABOTABEK;JAKARTA RAYA;JAKPUSEL;JAKARTA SELATAN
